parameter;value
ga_rounds;5000
ga_population;50
ga_crossover;0.6
ga_mutation;0.1
p_rounds;30

p_step;250

0;9.061538461538461;5.511002980053073;22;0
1;7.217391304347826;5.4741896129161045;22;0
2;5.507042253521127;4.842883554945397;22;0
3;4.397260273972603;4.3993046357963;18;0
4;4.153846153846154;4.547232419540778;18;0
5;3.871794871794872;4.103716954237078;18;0
6;3.141025641025641;3.379557947633377;13;0
7;2.5185185185185186;2.8465378581318355;13;0
8;2.1645569620253164;2.5691981176755476;11;0
9;2.128205128205128;2.585468755303124;11;0
10;2.0987654320987654;2.6344114061380246;12;0
11;1.8974358974358974;2.520511922800674;12;0
12;1.8157894736842106;2.5701389135779644;12;0
13;1.9210526315789473;2.9833455846068158;15;0
14;1.4794520547945205;2.4557731812625163;15;0
15;1.4583333333333333;2.4663224604404914;15;0
16;1.2;2.210646177419428;15;0
17;1.2253521126760563;2.2245203855379803;15;0
18;1.1830985915492958;2.199414591950254;15;0
19;0.9714285714285714;1.3723082065136083;8;0
